Dimension (in),Length (in),Quantity
2x2,10,2
2x2,13,2
2x2,13,1
2x2,15,4
2x2,19,2
2x2,23,2
2x2,28,2
2x2,34,2
2x2,37,4
2x4,18,15
2x4,19,9
2x4,23,5
2x4,24.25,1
2x4,29.5,1
2x4,30,19
2x4,31,13
2x4,32,5
2x4,36.25,1
2x4,36.5,1
2x4,38.75,1
2x4,42,2
2x4,43.25,2
2x4,45,1
2x4,52,2
2x4,57.5,2
2x4,64.5,6
2x4,67,2
2x4,67.5,2
2x4,69,1
2x4,72,2
2x4,76,2
2x4,96,2
2x4,120,2
2x6,23,1
2x6,24,4
2x6,28,1
2x6,40,1
2x6,43,1
2x6,45,3
2x6,45,1
2x6,64.5,15
2x6,69,3
2x6,108,1
2x6,120,2
2x8,45,1
2x8,64.5,4
2x8,69,1
2x8,84.5,1
4x4,7,2
4x4,16,3
4x4,42.75,2
4x4,45,1
4x4,99,4
4x4,110,2
4x4,132,4
5/4x6,19,20
5/4x6,26,12
5/4x6,34,17
5/4x6,48,12
5/4x6,72,12
